layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,Sigmoid,1,10.0,16,0.966
1,4,Sigmoid,1,10.0,32,0.972
1,4,Sigmoid,1,10.0,64,0.9505
1,4,Sigmoid,1,10.0,128,0.6825
1,4,Sigmoid,1,10.0,256,0.304
1,4,Sigmoid,1,10.0,512,0.877
1,4,Sigmoid,1,1.0,16,0.884
1,4,Sigmoid,1,1.0,32,0.785
1,4,Sigmoid,1,1.0,64,0.477
1,4,Sigmoid,1,1.0,128,0.354
1,4,Sigmoid,1,1.0,256,0.9845
1,4,Sigmoid,1,1.0,512,0.943
1,4,Sigmoid,1,0.1,16,0.7875
1,4,Sigmoid,1,0.1,32,0.8845
1,4,Sigmoid,1,0.1,64,0.9675
1,4,Sigmoid,1,0.1,128,0.9875
1,4,Sigmoid,1,0.1,256,0.9055
1,4,Sigmoid,1,0.1,512,0.501
1,4,Sigmoid,1,0.01,16,0.9745
1,4,Sigmoid,1,0.01,32,0.7495
1,4,Sigmoid,1,0.01,64,0.0115
1,4,Sigmoid,1,0.01,128,0.9725
1,4,Sigmoid,1,0.01,256,0.0305
1,4,Sigmoid,1,0.01,512,0.802
1,4,Sigmoid,1,0.001,16,0.137
1,4,Sigmoid,1,0.001,32,0.0345
1,4,Sigmoid,1,0.001,64,0.8705
1,4,Sigmoid,1,0.001,128,0.1405
1,4,Sigmoid,1,0.001,256,0.5685
1,4,Sigmoid,1,0.001,512,0.946
1,4,Sigmoid,1,0.0001,16,0.2345
1,4,Sigmoid,1,0.0001,32,0.6275
1,4,Sigmoid,1,0.0001,64,0.282
1,4,Sigmoid,1,0.0001,128,0.3705
1,4,Sigmoid,1,0.0001,256,0.5935
1,4,Sigmoid,1,0.0001,512,0.9735
1,4,Sigmoid,10,10.0,16,0.597
1,4,Sigmoid,10,10.0,32,0.999
1,4,Sigmoid,10,10.0,64,0.999
1,4,Sigmoid,10,10.0,128,0.9985
1,4,Sigmoid,10,10.0,256,0.999
1,4,Sigmoid,10,10.0,512,0.9975
1,4,Sigmoid,10,1.0,16,0.999
1,4,Sigmoid,10,1.0,32,0.9985
1,4,Sigmoid,10,1.0,64,0.9925
1,4,Sigmoid,10,1.0,128,0.999
1,4,Sigmoid,10,1.0,256,0.999
1,4,Sigmoid,10,1.0,512,0.999
1,4,Sigmoid,10,0.1,16,0.999
1,4,Sigmoid,10,0.1,32,0.999
1,4,Sigmoid,10,0.1,64,0.999
1,4,Sigmoid,10,0.1,128,0.999
1,4,Sigmoid,10,0.1,256,0.999
1,4,Sigmoid,10,0.1,512,0.999
1,4,Sigmoid,10,0.01,16,0.9915
1,4,Sigmoid,10,0.01,32,0.856
1,4,Sigmoid,10,0.01,64,0.999
1,4,Sigmoid,10,0.01,128,0.868
1,4,Sigmoid,10,0.01,256,0.75
1,4,Sigmoid,10,0.01,512,0.9685
1,4,Sigmoid,10,0.001,16,0.58
1,4,Sigmoid,10,0.001,32,0.1095
1,4,Sigmoid,10,0.001,64,0.4435
1,4,Sigmoid,10,0.001,128,0.3955
1,4,Sigmoid,10,0.001,256,0.414
1,4,Sigmoid,10,0.001,512,0.0635
1,4,Sigmoid,10,0.0001,16,0.6455
1,4,Sigmoid,10,0.0001,32,0.8295
1,4,Sigmoid,10,0.0001,64,0.968
1,4,Sigmoid,10,0.0001,128,0.9755
1,4,Sigmoid,10,0.0001,256,0.5895
1,4,Sigmoid,10,0.0001,512,0.7815
1,4,Sigmoid,25,10.0,16,0.999
1,4,Sigmoid,25,10.0,32,0.999
1,4,Sigmoid,25,10.0,64,0.999
1,4,Sigmoid,25,10.0,128,0.999
1,4,Sigmoid,25,10.0,256,0.9985
1,4,Sigmoid,25,10.0,512,0.999
1,4,Sigmoid,25,1.0,16,0.994
1,4,Sigmoid,25,1.0,32,0.999
1,4,Sigmoid,25,1.0,64,0.999
1,4,Sigmoid,25,1.0,128,0.9985
1,4,Sigmoid,25,1.0,256,0.999
1,4,Sigmoid,25,1.0,512,0.9985
1,4,Sigmoid,25,0.1,16,0.999
1,4,Sigmoid,25,0.1,32,0.999
1,4,Sigmoid,25,0.1,64,0.999
1,4,Sigmoid,25,0.1,128,0.999
1,4,Sigmoid,25,0.1,256,0.999
1,4,Sigmoid,25,0.1,512,0.999
1,4,Sigmoid,25,0.01,16,0.9985
1,4,Sigmoid,25,0.01,32,0.999
1,4,Sigmoid,25,0.01,64,0.985
1,4,Sigmoid,25,0.01,128,0.999
1,4,Sigmoid,25,0.01,256,0.999
1,4,Sigmoid,25,0.01,512,0.999
1,4,Sigmoid,25,0.001,16,0.1945
1,4,Sigmoid,25,0.001,32,0.967
1,4,Sigmoid,25,0.001,64,0.8855
1,4,Sigmoid,25,0.001,128,0.817
1,4,Sigmoid,25,0.001,256,0.8965
1,4,Sigmoid,25,0.001,512,0.982
1,4,Sigmoid,25,0.0001,16,0.709
1,4,Sigmoid,25,0.0001,32,0.8775
1,4,Sigmoid,25,0.0001,64,0.509
1,4,Sigmoid,25,0.0001,128,0.7325
1,4,Sigmoid,25,0.0001,256,0.828
1,4,Sigmoid,25,0.0001,512,0.976
1,4,Sigmoid,50,10.0,16,0.9985
1,4,Sigmoid,50,10.0,32,0.999
1,4,Sigmoid,50,10.0,64,0.999
1,4,Sigmoid,50,10.0,128,0.999
1,4,Sigmoid,50,10.0,256,0.9985
1,4,Sigmoid,50,10.0,512,0.9985
1,4,Sigmoid,50,1.0,16,0.999
1,4,Sigmoid,50,1.0,32,0.999
1,4,Sigmoid,50,1.0,64,0.999
1,4,Sigmoid,50,1.0,128,0.999
1,4,Sigmoid,50,1.0,256,0.999
1,4,Sigmoid,50,1.0,512,0.999
1,4,Sigmoid,50,0.1,16,0.999
1,4,Sigmoid,50,0.1,32,0.999
1,4,Sigmoid,50,0.1,64,0.999
1,4,Sigmoid,50,0.1,128,0.999
1,4,Sigmoid,50,0.1,256,0.999
1,4,Sigmoid,50,0.1,512,0.999
